AirQualityStation,Latitude,Longitude,source
ad0942a,42.5096939994651,1.539138,EEA
ad0944a,42.516943999465,1.56525,EEA
ad0945a,42.534882999465,1.716986,EEA
al0201a,41.3302689994674,19.821772,EEA
al0202a,41.3455999994673,19.851667,EEA
al0203a,40.62593,20.78018,EEA
al0204a,40.40309,19.4862,EEA
al0205a,41.3199,19.4492,EEA
al0206a,42.3139,19.52342,EEA
al0207a,41.11098,20.0817,EEA
at0ach1,47.503056,11.70028,EEA
at0enk1,48.391719999467,13.67114,EEA
at0hbg1,48.148056,12.866947,EEA
at0ill1,47.7702799994658,16.76639,EEA
at0ill2,47.7702799994658,16.76639,EEA
at0klh1,46.7674999994643,15.956111,EEA
at0pil1,48.7211111094678,15.94222222,EEA
at0sig1,47.189167,11.099736,EEA
at0son1,47.0541666994646,12.957777778,EEA
at0sto1,47.129166,14.203892,EEA
at0vor1,46.6786111105753,12.9744444444444,EEA
at0zil1,47.306667,11.863889,EEA
at0zoe2,47.8386110994659,14.441388889,EEA
at10001,47.8401137994659,16.52617,EEA
at10002,47.339925999465,16.207863,EEA
at10003,48.1091531994664,17.0703159,EEA
at10007,47.4652777774653,16.6472222222,EEA
at10008,48.0009719994662,16.862967,EEA
at10035,46.9420359994645,16.148272,EEA
at11002,47.304165,16.193054,EEA
at11007,47.4652777774653,16.6472222222,EEA
at20444,46.554199999464,13.70153,EEA
at2aut1,47.026944,13.603889,EEA
at2f101,46.675556,15.046123,EEA
at2f103,46.6528499994641,14.26625,EEA
at2f202,46.8428299994644,14.52998,EEA
at2fe13,46.727501,14.090838,EEA
at2he19,46.624722,13.373061,EEA
at2ka11,46.626111,14.298347,EEA
at2ka21,46.6255599994641,14.31806,EEA
at2ka41,46.6293599994641,14.28931,EEA
at2ka61,46.6524999994641,14.2661111111111,EEA
at2ka71,46.6266166661308,14.2991444444444,EEA
at2kl17,46.529167,14.301683,EEA
at2m121,46.558899999464,13.705,EEA
at2m226,46.6102777772418,14.3983333333333,EEA
at2m611,46.7605555554642,14.379444444,EEA
at2sp10,46.9349999994645,13.194533,EEA
at2sp18,46.8013888883532,13.4938888888889,EEA
at2sp20,46.748055,12.972783,EEA
at2sv14,46.765835,14.355003,EEA
at2sv24,46.7711109994643,14.3658333333333,EEA
at2trei,46.8633333327977,14.4583333333333,EEA
at2vi12,46.6124999994641,13.841389,EEA
at2vk01,46.6628194439086,14.6322805555556,EEA
at2vk16,46.663891,14.63307,EEA
at2vk26,46.585556,14.795011,EEA
at2vl12,46.563889,13.811122,EEA
at2vl22,46.55722,13.7089,EEA
at2vl52,46.6953999994642,13.91449,EEA
at2vl62,46.558056,13.666947,EEA
at2wo15,46.8349999994643,14.8436111111111,EEA
at2wo25,46.7638889994642,14.8222222,EEA
at2wo35,46.7083329994642,14.891667,EEA
at30033,48.9559999994684,15.039,EEA
at30065,48.1958349994666,16.143612,EEA
at30101,48.1202777794665,14.878333,EEA
at30102,48.226665,14.562789,EEA
at30103,48.1797222194666,14.86666667,EEA
at30104,48.1922299994666,14.51954,EEA
at30201,47.9592499994661,16.2057,EEA
at30202,48.1061110994664,15.919444444,EEA
at30301,48.1441999994665,16.95787,EEA
at30302,48.0502779994663,16.675278,EEA
